R,xi=-1.0,xi=-0.75,xi=-0.5,xi=-0.25,xi=0.0,xi=0.25,xi=0.5,xi=0.75,xi=1.0
8.633026250387237,2.06172084155335,2.1775745616293007,2.2927541464736603,2.4072534121136377,2.521066298493697,2.6341866495445783,2.746608045077797,2.8583241464393128,2.9693287074108508
8.527923907336662,2.058252188493522,2.174703759362924,2.2904281592378997,2.4054183141859142,2.5196668582660484,2.6331666295867575,2.745910361531044,2.857890470252952,2.969099333332659
8.42410112746525,2.054779425515829,2.1718281381648685,2.2880970621778287,2.403578027198496,2.5182628174313924,2.632142815354508,2.7452093916324354,2.8574539710866285,2.968867752149348
8.32154233279555,2.051302694058984,2.1689475769404782,2.2857608358117365,2.4017328575596175,2.5168539865219524,2.6311145114795575,2.744504622934427,2.8570145048312305,2.968634294611888
8.220232135003425,2.047821841890481,2.1660623388890836,2.2834194279321456,2.3998822417735566,2.5154399310321276,2.6300816481965077,2.743796503142883,2.856573081006055,2.9683998589724316
8.120155333109102,2.0443370324278236,2.163172090414537,2.2810723773853363,2.39802601069784,2.5140211085241098,2.629045207781135,2.7430856019428957,2.856129468247587,2.9681637856137715
8.021296911196382,2.0408479797875083,2.1602764636309555,2.278719870412383,2.39616503233126,2.51259801187688,2.6280048403841945,2.742371303585274,2.8556831978880863,2.96792598044226
7.9236420361595705,2.0373543783721995,2.157375981266594,2.276362630334186,2.39429912327832,2.511170087856319,2.6269601288805204,2.7416535843321785,2.85523440476504,2.967686373956904
7.827176055477879,2.0338568615658503,2.1544709701630342,2.274000197709222,2.392427841545051,2.509737246149169,2.625911252851327,2.7409323673650463,2.8547829669617046,2.967445031778744
7.731884495016891,2.0303555236873,2.151561006221868,2.2716322731184597,2.3905513185154956,2.508299523101227,2.6248580177183403,2.7402076806244167,2.8543289353645678,2.9672019318086926
7.63775305685681,2.026850000763806,2.1486458994476427,2.2692590615697226,2.3886694437551066,2.5068568057989418,2.623800530960117,2.7394795134635554,2.853872335591406,2.9669571177604688
7.544767617147145,2.0233401536709303,2.1457258339836254,2.2668803860571307,2.38678219508393,2.505409192911696,2.622738735429322,2.7387478823580307,2.8534131143852535,2.966710515052536
7.452914223987511,2.019826150550195,2.142800623828051,2.2644962770480777,2.3848896397372568,2.503956581942581,2.621672654155956,2.738012726774365,2.8529512631280847,2.966462159433108
7.36217909533423,2.016307830726071,2.1398703101706524,2.2621067852853525,2.382991662285079,2.5024990470246817,2.6206022024833144,2.7372740437479686,2.852486768493644,2.9662119890118435
7.272548616932421,2.012785183781346,2.136934962229067,2.259711776258869,2.381088367465895,2.5010364368638003,2.61952740579733,2.736531808425487,2.8520195869663945,2.965960042862946
7.184009340273263,2.0092583489332907,2.1339943967599946,2.2573113905298143,2.379179547912658,2.49956884520148,2.6184482065511,2.73578597909155,2.851549752649723,2.9657062431652976
7.096547980576128,2.005727068630347,2.1310487986593496,2.254905380633988,2.3772653591548494,2.49809615737229,2.6173645849464333,2.7350365839696797,2.8510771567516198,2.9654506478389737
7.0101514147952795,2.002191532152734,2.128097926105549,2.2524939235968207,2.3753456484989997,2.4966183880007176,2.616276554115663,2.7342835051712706,2.8506019076132527,2.9651931599463994
6.924806679650842,1.998651647419322,2.1251418884934736,2.2500769015622826,2.373420434402314,2.4951355434526388,2.6151839894014413,2.7335268728654976,2.8501238172780847,2.964933847625452
6.840500969683735,1.9951072794469698,2.1221807194588798,2.2476542473732164,2.371489768440756,2.493647471187905,2.6140870467166093,2.732766437753387,2.849643051746634,2.964672621706215
6.757221635334295,1.9915586778773606,2.119214148121641,2.245226148757974,2.369553408867124,2.4921543878067753,2.612985420196751,2.7320024475439526,2.849159415522377,2.964409516088755
6.674956181044288,1.9880054708005113,2.1162424955169845,2.242792199280457,2.367611664009138,2.4906558961181524,2.611879419039586,2.7312345975813446,2.8486730261327686,2.964144513826249
6.59369226338202,1.984447841469605,2.113265416116912,2.240352761576696,2.365664095033163,2.4891523551121377,2.610768685297079,2.730463088810151,2.8481838020846815,2.963877529629119
6.513417689190287,1.9808859146995828,2.1102830055650355,2.2379076037431505,2.363710988296672,2.487643470697879,2.609653419735372,2.7296878101997004,2.847691675111511,2.963608723614532
6.43412041375686,1.9773191992546366,2.107295487525965,2.235456630757945,2.3617523044743045,2.486129274428361,2.6085335959119567,2.7289086498274107,2.8471968250935458,2.963337772262778
6.355788539007256,1.9737481149042373,2.104302280052599,2.233000212769427,2.359787704405352,2.4846099974453284,2.6074089309753634,2.728125900309854,2.846698539349274,2.9630651148587344
6.278410311719498,1.9701725916622215,2.101303847604654,2.2305376911934727,2.357817710399504,2.4830850321640745,2.6062799150618656,2.7273387147610673,2.846197441688233,2.962789912201791
6.2019741217606175,1.9665921749237747,2.098300146868168,2.228069517380085,2.355841664816597,2.4815550183871866,2.605145635291132,2.726547680866016,2.8456939142578266,2.962512496275001
6.126468500344624,1.963007417388619,2.0952906427016855,2.2255957598284484,2.353859891969172,2.4800194182852033,2.6040064415759487,2.7257532786337904,2.8451874105625694,2.962233759847746
6.0518821183116875,1.9594180655683744,2.0922759894846266,2.2231155493058687,2.351872662813998,2.4784778940545205,2.602863013645691,2.724955058915582,2.8446776892316556,2.961953124615012
5.97820378442826,1.9558237161195005,2.0892558293395025,2.2206295231444866,2.3498788740206225,2.4769312913404424,2.601715028023148,2.724152577046875,2.844164993871088,2.961670083295763
5.905422443707902,1.952225029567127,2.0862295964742112,2.218137979017752,2.3478791698656054,2.475379590866499,2.6005619610845656,2.723346135123745,2.843649301369719,2.9613849322908803
5.833527175752554,1.9486216719371272,2.083197991214085,2.2156406773319763,2.345874111161855,2.4738223911209944,2.5994039249003245,2.7225357249225013,2.843130639109738,2.9610977664384177
5.762507193113987,1.9450129679312245,2.0801611255843415,2.213137324777803,2.343863365558443,2.472259315307078,2.5982411022092196,2.7217213529636717,2.842608811218212,2.9608085424344823
5.692351839675221,1.9413995918687441,2.0771188222693997,2.2106277594773003,2.341846485290201,2.470690761074995,2.5970733559421717,2.7209028883331996,2.8420839944257397,2.96051712308199
5.623050589051632,1.9377817898794594,2.0740708039114173,2.208112366917814,2.339823398156779,2.4691165992869673,2.5959007750599454,2.7200803525944752,2.8415559635664223,2.9602236236524546
5.554593043011536,1.9341593097562002,2.071016860820004,2.205590825486632,2.337794477173451,2.4675368768609767,2.594723076206668,2.7192537536018184,2.8410248705486687,2.959927882362803
5.4869689299159985,1.9305320509285937,2.0679574164639867,2.203063299010122,2.3357594129798516,2.465951508900345,2.5935405526127457,2.7184229245413727,2.8404905938915532,2.959630020485027
